Amplitude =     -61.22 dBm, Frequency =    1593184 Hz
Amplitude =     -61.80 dBm, Frequency =    1595188 Hz
Amplitude =     -62.98 dBm, Frequency =    1597192 Hz
Amplitude =     -60.43 dBm, Frequency =    1599196 Hz
Amplitude =     -61.07 dBm, Frequency =    1601200 Hz
Amplitude =     -63.09 dBm, Frequency =    1603204 Hz
Amplitude =     -62.01 dBm, Frequency =    1605208 Hz
Amplitude =     -62.15 dBm, Frequency =    1607212 Hz
Amplitude =     -62.70 dBm, Frequency =    1609216 Hz
Amplitude =     -62.17 dBm, Frequency =    1611220 Hz
Amplitude =     -62.78 dBm, Frequency =    1613224 Hz
Amplitude =     -61.92 dBm, Frequency =    1615228 Hz
Amplitude =     -62.40 dBm, Frequency =    1617232 Hz
Amplitude =     -62.80 dBm, Frequency =    1619236 Hz
Amplitude =     -63.20 dBm, Frequency =    1621240 Hz
Amplitude =     -63.01 dBm, Frequency =    1623244 Hz
Amplitude =     -63.54 dBm, Frequency =    1625248 Hz
Amplitude =     -62.21 dBm, Frequency =    1627252 Hz
Amplitude =     -61.70 dBm, Frequency =    1629256 Hz
Amplitude =     -62.77 dBm, Frequency =    1631260 Hz
Amplitude =     -61.88 dBm, Frequency =    1633264 Hz
Amplitude =     -63.37 dBm, Frequency =    1635268 Hz
Amplitude =     -64.13 dBm, Frequency =    1637272 Hz
Amplitude =     -63.87 dBm, Frequency =    1639276 Hz
Amplitude =     -63.40 dBm, Frequency =    1641280 Hz
Amplitude =     -63.15 dBm, Frequency =    1643284 Hz
Amplitude =     -63.48 dBm, Frequency =    1645288 Hz
Amplitude =     -62.91 dBm, Frequency =    1647292 Hz
Amplitude =     -64.05 dBm, Frequency =    1649296 Hz
Amplitude =     -64.17 dBm, Frequency =    1651300 Hz
Amplitude =     -63.66 dBm, Frequency =    1653304 Hz
Amplitude =     -63.82 dBm, Frequency =    1655308 Hz
Amplitude =     -63.37 dBm, Frequency =    1657312 Hz
Amplitude =     -63.95 dBm, Frequency =    1659316 Hz
Amplitude =     -64.05 dBm, Frequency =    1661320 Hz
Amplitude =     -63.46 dBm, Frequency =    1663324 Hz
Amplitude =     -63.40 dBm, Frequency =    1665328 Hz
Amplitude =     -64.36 dBm, Frequency =    1667332 Hz
Amplitude =     -64.50 dBm, Frequency =    1669336 Hz
Amplitude =     -64.65 dBm, Frequency =    1671340 Hz
Amplitude =     -63.34 dBm, Frequency =    1673344 Hz
Amplitude =     -64.71 dBm, Frequency =    1675348 Hz
Amplitude =     -64.79 dBm, Frequency =    1677352 Hz
Amplitude =     -64.37 dBm, Frequency =    1679356 Hz
Amplitude =     -64.05 dBm, Frequency =    1681360 Hz
Amplitude =     -64.59 dBm, Frequency =    1683364 Hz
Amplitude =     -63.87 dBm, Frequency =    1685368 Hz
Amplitude =     -64.25 dBm, Frequency =    1687372 Hz
Amplitude =     -65.72 dBm, Frequency =    1689376 Hz
Amplitude =     -63.78 dBm, Frequency =    1691380 Hz
Amplitude =     -64.77 dBm, Frequency =    1693384 Hz
Amplitude =     -64.23 dBm, Frequency =    1695388 Hz
Amplitude =     -65.80 dBm, Frequency =    1697392 Hz
Amplitude =     -64.56 dBm, Frequency =    1699396 Hz
Amplitude =     -64.75 dBm, Frequency =    1701400 Hz
Amplitude =     -64.20 dBm, Frequency =    1703404 Hz
Amplitude =     -63.88 dBm, Frequency =    1705408 Hz
Amplitude =     -62.87 dBm, Frequency =    1707412 Hz
Amplitude =     -63.74 dBm, Frequency =    1709416 Hz
Amplitude =     -63.52 dBm, Frequency =    1711420 Hz
Amplitude =     -64.60 dBm, Frequency =    1713424 Hz
Amplitude =     -64.09 dBm, Frequency =    1715428 Hz
Amplitude =     -64.21 dBm, Frequency =    1717432 Hz
Amplitude =     -64.50 dBm, Frequency =    1719436 Hz
Amplitude =     -64.21 dBm, Frequency =    1721440 Hz
Amplitude =     -64.05 dBm, Frequency =    1723444 Hz
Amplitude =     -63.46 dBm, Frequency =    1725448 Hz
Amplitude =     -64.85 dBm, Frequency =    1727452 Hz
Amplitude =     -64.54 dBm, Frequency =    1729456 Hz
Amplitude =     -64.11 dBm, Frequency =    1731460 Hz
Amplitude =     -63.91 dBm, Frequency =    1733464 Hz
Amplitude =     -62.97 dBm, Frequency =    1735468 Hz
Amplitude =     -63.87 dBm, Frequency =    1737472 Hz
Amplitude =     -63.48 dBm, Frequency =    1739476 Hz
Amplitude =     -64.30 dBm, Frequency =    1741480 Hz
Amplitude =     -63.48 dBm, Frequency =    1743484 Hz
Amplitude =     -64.30 dBm, Frequency =    1745488 Hz
Amplitude =     -64.03 dBm, Frequency =    1747492 Hz
Amplitude =     -63.30 dBm, Frequency =    1749496 Hz
